,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Location
169574,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B3,428,Wednesday,16,Part Two,NORFOLK ST,"(42.28092154, -71.08766264)"
169575,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,B3,428,Wednesday,16,Part Two,NORFOLK ST,"(42.28092154, -71.08766264)"
169576,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,C11,367,Wednesday,16,Part Two,GIBSON ST,"(42.29755533, -71.05970910)"
169577,3122,Aircraft,AIRCRAFT INCIDENTS,A7,36,Wednesday,16,Part Three,PRESCOTT ST,"(42.37525782, -71.02466343)"
169579,3125,Warrant Arrests,WARRANT ARREST,D4,151,Wednesday,16,Part Three,GRAY ST,"(42.34556708, -71.07147876)"
169580,724,Auto Theft,AUTO THEFT,B2,611,Wednesday,11,Part One,HUNTINGTON AVE,"(42.33296171, -71.11041930)"
169581,2914,Violations,VAL - OPERATING W/O AUTHORIZATION LAWFUL,B2,611,Wednesday,11,Part Two,HUNTINGTON AVE,"(42.33296171, -71.11041930)"
169582,613,Larceny,LARCENY SHOPLIFTING,D4,142,Wednesday,15,Part One,NEWBURY ST,"(42.34840576, -71.08688339)"
169583,1831,Drug Violation,DRUGS - SICK ASSIST - OTHER NARCOTIC,D4,272,Wednesday,15,Part Two,HARRISON AVE,"(42.33401829, -71.07638124)"
169585,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,465,Wednesday,16,Part Three,BLUE HILL AVE,"(42.28482577, -71.09137369)"
169588,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,341,Wednesday,15,Part One,STONEHURST ST,"(42.30526428, -71.06683755)"
169589,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,C11,357,Wednesday,15,Part Two,BLOOMFIELD ST,"(42.29910777, -71.06829572)"
169590,3125,Warrant Arrests,WARRANT ARREST,E18,522,Wednesday,15,Part Three,DANA AVE,"(42.25326734, -71.12385963)"
169591,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,340,Wednesday,14,Part Two,HAMILTON ST,"(42.30587884, -71.06663793)"
169592,3125,Warrant Arrests,WARRANT ARREST,C11,340,Wednesday,14,Part Three,HAMILTON ST,"(42.30587884, -71.06663793)"
169593,3201,Property Lost,PROPERTY - LOST,B3,457,Monday,11,Part Three,GLENWAY ST,"(42.29918970, -71.08150445)"
169594,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,794,Wednesday,15,Part Three,COMMONWEALTH AVE,"(42.34906578, -71.13414695)"
169595,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,234,Wednesday,14,Part Two,E EIGHTH ST,"(42.33144389, -71.03729839)"
169596,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,313,Sunday,4,Part Three,WABON ST,"(42.31441222, -71.08530390)"
169597,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,149,Wednesday,14,Part Two,DARTMOUTH ST,"(42.34640381, -71.07551289)"
169598,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A1,111,Wednesday,12,Part One,BOYLSTON ST,"(42.35231190, -71.06370510)"
169599,2647,Other,THREATS TO DO BODILY HARM,B3,420,Wednesday,14,Part Two,W SELDEN ST,"(42.27376816, -71.08919673)"
169601,3305,Assembly or Gathering Violations,DEMONSTRATIONS/RIOT,D4,138,Wednesday,12,Part Three,BOYLSTON ST,"(42.34980175, -71.07840978)"
169602,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,459,Wednesday,13,Part Three,ERIE ST,"(42.30292386, -71.07923791)"
169603,2905,Violations,VAL - OPERATING WITHOUT LICENSE,E5,680,Wednesday,14,Part Two,POPLAR ST,"(42.28569303, -71.12894451)"
169604,2906,Violations,VAL - OPERATING UNREG/UNINS †CAR,E5,680,Wednesday,14,Part Two,POPLAR ST,"(42.28569303, -71.12894451)"
169605,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E5,680,Wednesday,14,Part Three,POPLAR ST,"(42.28569303, -71.12894451)"
169606,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),C11,450,Wednesday,12,Other,WASHINGTON ST,"(42.29131613, -71.07170293)"
169607,617,Larceny,LARCENY THEFT FROM BUILDING,E13,582,Monday,16,Part One,CENTRE ST,"(42.32277007, -71.10445458)"
169608,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,306,Saturday,18,Part One,WALNUT AVE,"(42.31791503, -71.09113687)"
169609,1001,Counterfeiting,FORGERY / COUNTERFEITING,E18,520,Wednesday,13,Part Two,HYDE PARK AVE,"(42.26701085, -71.12096171)"
169610,2401,Disorderly Conduct,AFFRAY,D4,162,Wednesday,14,Part Two,SHAWMUT AVE,"(42.34622511, -71.06611417)"
169611,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,C6,226,Wednesday,13,Part Two,L ST,"(42.33520050, -71.03540812)"
169612,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C6,226,Wednesday,13,Part Three,L ST,"(42.33520050, -71.03540812)"
169613,3130,Search Warrants,SEARCH WARRANT,A1,77,Wednesday,11,Part Three,BULFINCH PL,"(42.36152577, -71.06133846)"
169614,1402,Vandalism,VANDALISM,C11,391,Wednesday,0,Part Two,MINOT ST,"(42.28343547, -71.05988144)"
169616,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,516,Monday,0,Part Three,WILLIAMS AVE,"(42.24831869, -71.11676234)"
169618,617,Larceny,LARCENY THEFT FROM BUILDING,A7,24,Saturday,21,Part One,MARION PL,"(42.37925869, -71.03839361)"
169619,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A1,92,Wednesday,13,Part Two,CITY HALL PLZ,"(42.35972137, -71.05852360)"
169620,3201,Property Lost,PROPERTY - LOST,D14,796,Wednesday,13,Part Three,COMMONWEALTH AVE,"(42.35034226, -71.12942937)"
169621,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,313,Sunday,12,Part One,WABON ST,"(42.31441222, -71.08530390)"
169622,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E13,912,Tuesday,13,Part Two,CENTRE ST,"(42.32283759, -71.10096723)"
169623,3119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,D4,137,Wednesday,12,Part Three,COMMONWEALTH AVE,"(42.35080941, -71.08143615)"
169624,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E13,639,Monday,10,Part Two,ENFIELD ST,"(42.31594228, -71.11014262)"
169625,613,Larceny,LARCENY SHOPLIFTING,A7,26,Wednesday,13,Part One,BORDER ST,"(42.37620267, -71.03979926)"
169626,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,C11,343,Wednesday,12,Part Three,PARIS ST,"(42.37081805, -71.03929078)"
169627,2610,Other,TRESPASSING,C11,372,Wednesday,12,Part Two,ERICSSON ST,"(42.29158018, -71.04009369)"
169628,3115,Investigate Person,INVESTIGATE PERSON,B3,468,Wednesday,12,Part Three,OUTLOOK RD,"(42.28245514, -71.09448768)"
169629,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E18,478,Friday,13,Part Two,WOOD AVE,"(42.27298632, -71.10994946)"
169630,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,943,Wednesday,12,Part Three,WOODRUFF WAY,"(42.27443147, -71.08131004)"
169631,3125,Warrant Arrests,WARRANT ARREST,D4,153,Wednesday,12,Part Three,BOYLSTON ST,"(42.35231190, -71.06370510)"
169632,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,161,Wednesday,11,Part One,CASTLE CT,"(42.34518938, -71.06761488)"
169633,1300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,A15,41,Wednesday,12,Part Two,VINE ST,"(42.37663167, -71.05593196)"
169634,1300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,A15,41,Wednesday,12,Part Two,VINE ST,"(42.37663167, -71.05593196)"
169636,727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,A1,115,Wednesday,12,Part One,ATLANTIC AVE,"(42.34997840, -71.05683752)"
169637,1300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,A1,115,Wednesday,12,Part Two,ATLANTIC AVE,"(42.34997840, -71.05683752)"
169638,1304,Recovered Stolen Property,PROPERTY - STOLEN THEN RECOVERED,A1,115,Wednesday,12,Part Two,ATLANTIC AVE,"(42.34997840, -71.05683752)"
169639,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4, ,Tuesday,11,Part One,FORSYTH ST,"(0.00000000, 0.00000000)"
169640,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",C11,340,Wednesday,12,Part Three,MOUNT IDA RD,"(42.30629091, -71.06512497)"
169641,613,Larceny,LARCENY SHOPLIFTING,B2,257,Wednesday,9,Part One,COLUMBIA RD,"(42.31596900, -71.06625300)"
169642,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B3,427,Wednesday,12,Part Two,NORFOLK ST,"(42.27897754, -71.08954272)"
169643,3410,Towed,TOWED MOTOR VEHICLE,A1,87,Wednesday,11,Part Three,BATTERY ST,"(42.36631992, -71.05208484)"
169645,619,Larceny,LARCENY ALL OTHERS,A1,93,Sunday,0,Part One,FANEUIL HALL SQ,"(42.36020464, -71.05620816)"
169647,617,Larceny,LARCENY THEFT FROM BUILDING,B2,612,Wednesday,0,Part One,LONGWOOD AVE,"(42.33744152, -71.10428096)"
169648,619,Larceny,LARCENY ALL OTHERS,E13,946,Wednesday,10,Part One,METCALF CT,"(42.30536762, -71.11571500)"
169649,3201,Property Lost,PROPERTY - LOST,E18,555,Monday,17,Part Three,GREW AVE,"(42.27510049, -71.12178148)"
169650,3201,Property Lost,PROPERTY - LOST,A1,120,Tuesday,21,Part Three,PARK PLZ,"(42.35162789, -71.06866410)"
169651,1402,Vandalism,VANDALISM,E13,648,Tuesday,18,Part Two,CAROLINA AVE,"(42.30793484, -71.11065094)"
169652,2610,Other,TRESPASSING,A1,105,Wednesday,11,Part Two,FRUIT ST,"(42.36240281, -71.06954652)"
169653,3125,Warrant Arrests,WARRANT ARREST,A1,105,Wednesday,11,Part Three,FRUIT ST,"(42.36240281, -71.06954652)"
169654,2647,Other,THREATS TO DO BODILY HARM,A1,105,Wednesday,11,Part Two,FRUIT ST,"(42.36240281, -71.06954652)"
169655,724,Auto Theft,AUTO THEFT,B2,332,Monday,23,Part One,BELLEVUE ST,"(42.31269402, -71.06842736)"
169657,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,B2,258,Friday,6,Part Two,COLUMBIA RD,"(42.31684532, -71.06556419)"
169659,3115,Investigate Person,INVESTIGATE PERSON,D4,274,Wednesday,10,Part Three,TREMONT ST,"(42.33802166, -71.08273055)"
169660,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,435,Wednesday,10,Part One,PEACEVALE RD,"(42.28716674, -71.07633479)"
169661,3115,Investigate Person,INVESTIGATE PERSON,B2,181,Wednesday,10,Part Three,KEMBLE ST,"(42.32695733, -71.07074008)"
169662,541,Commercial Burglary,BURGLARY - COMMERICAL - ATTEMPT,B2,181,Wednesday,10,Part One,KEMBLE ST,"(42.32695733, -71.07074008)"
169663,2647,Other,THREATS TO DO BODILY HARM,B2,181,Wednesday,10,Part Two,KEMBLE ST,"(42.32695733, -71.07074008)"
169664,2629,Harassment,HARASSMENT,B2,613,Monday,12,Part Two,RIVERWAY,"(42.34336892, -71.10472158)"
169665,1402,Vandalism,VANDALISM,E5,710,Tuesday,20,Part Two,WASHINGTON ST,"(42.26813060, -71.14965367)"
169666,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,620,Wednesday,9,Part Three,BURBANK ST,"(42.34430114, -71.08761830)"
169667,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,A1,102,Wednesday,10,Part Three,TREMONT ST,"(42.35637531, -71.06213513)"
169668,3125,Warrant Arrests,WARRANT ARREST,C11,104,Wednesday,10,Part Three,WASHINGTON ST,"(42.35680075, -71.05893025)"
169669,3001,Medical Assistance,DEATH INVESTIGATION,E5,562,Wednesday,10,Part Three,SOUTH ST,"(42.28718942, -71.12954583)"
169670,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E13,307,Tuesday,22,Part One,WESTMINSTER AVE,"(42.31558613, -71.09399361)"
169672,3125,Warrant Arrests,WARRANT ARREST,D4,153,Wednesday,9,Part Three,BOYLSTON ST,"(42.35231190, -71.06370510)"
169673,1402,Vandalism,VANDALISM,A15,37,Wednesday,9,Part Two,MEDFORD ST,"(42.38372873, -71.06863497)"
169675,3207,Property Found,PROPERTY - FOUND,E13,307,Wednesday,10,Part Three,WASHINGTON ST,"(42.31584636, -71.09824825)"
169676,613,Larceny,LARCENY SHOPLIFTING,E13,307,Wednesday,10,Part One,WASHINGTON ST,"(42.31584636, -71.09824825)"
169677,3115,Investigate Person,INVESTIGATE PERSON,D4,620,Wednesday,9,Part Three,EDGERLY RD,"(42.34559671, -71.08781041)"
169678,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,393,Friday,21,Part Two,DORCHESTER AVE,"(42.28657334, -71.06408374)"
169679,724,Auto Theft,AUTO THEFT,B3,465,Tuesday,20,Part One,WILCOCK ST,"(42.28688930, -71.09222991)"
169680,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,A7,24,Wednesday,9,Part Two,MARION ST,"(42.37847994, -71.03750965)"
169681,3115,Investigate Person,INVESTIGATE PERSON,A1,121,Wednesday,0,Part Three,STUART ST,"(42.35106637, -71.06549569)"
169682,3410,Towed,TOWED MOTOR VEHICLE,C6,233,Wednesday,8,Part Three,H ST,"(42.33177768, -71.04142278)"
169683,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E13, ,Tuesday,20,Part One,WALNUT PARK,"(0.00000000, 0.00000000)"
169684,1402,Vandalism,VANDALISM,E13, ,Tuesday,20,Part Two,WALNUT PARK,"(0.00000000, 0.00000000)"
169685,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,460,Wednesday,9,Part Three,WASHINGTON ST,"(42.30356539, -71.07868148)"
169689,617,Larceny,LARCENY THEFT FROM BUILDING,D14,784,Saturday,15,Part One,COMMONWEALTH AVE,"(42.34634585, -71.14148751)"
169690,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,E18,547,Sunday,0,Part Two,WEST ST,"(42.26777705, -71.13099281)"
169691,562,Other Burglary,BURGLARY - OTHER - NO FORCE,E5,710,Monday,15,Part One,WILLET ST,"(42.26909027, -71.15012366)"
169692,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,909,Wednesday,8,Part Three,RUGGLES ST,"(42.33445761, -71.08806100)"
169693,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,437,Wednesday,8,Part Two,NORFOLK ST,"(42.28915232, -71.07346000)"
169694,3805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,D14,797,Monday,19,Part Three,WESTGATE DR,"(0.00000000, 0.00000000)"
169695,2647,Other,THREATS TO DO BODILY HARM,C11,354,Wednesday,9,Part Two,NEPONSET AVE,"(42.29620667, -71.05487852)"
169696,2405,Disorderly Conduct,DISORDERLY CONDUCT,D4,152,Wednesday,8,Part Two,WARREN AVE,"(42.34453911, -71.07358770)"
169697,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,152,Wednesday,8,Part Two,WARREN AVE,"(42.34453911, -71.07358770)"
169698,3201,Property Lost,PROPERTY - LOST,E5,822,Wednesday,0,Part Three,CROWN POINT DR,"(42.25784060, -71.14813948)"
169699,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,A1,70,Wednesday,8,Part Two,BEACON ST,"(42.35678442, -71.06670845)"
169700,3201,Property Lost,PROPERTY - LOST,C11,337,Wednesday,8,Part Three,EVERTON ST,"(42.30481467, -71.07218295)"
169701,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B3,429,Wednesday,8,Part Two,WINSTON RD,"(42.28508809, -71.08789462)"
169703,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,A1,93,Friday,12,Part Two,NORTH ST,"(42.36062746, -71.05601800)"
169704,724,Auto Theft,AUTO THEFT,A7,12,Tuesday,21,Part One,SARATOGA ST,"(42.38574368, -71.01186957)"
169705,613,Larceny,LARCENY SHOPLIFTING,A15,55,Tuesday,15,Part One,BUNKER HILL ST,"(42.37886303, -71.06221620)"
169707,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,145,Wednesday,6,Part One,HARRISON AVE,"(0.00000000, 0.00000000)"
169708,3125,Warrant Arrests,WARRANT ARREST,D4,145,Wednesday,6,Part Three,HARRISON AVE,"(0.00000000, 0.00000000)"
169709,3125,Warrant Arrests,WARRANT ARREST,C11,352,Wednesday,7,Part Three,ARCADIA ST,"(42.30183841, -71.06127819)"
169710,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,D4,271,Wednesday,6,Part Three,NORTHAMPTON ST,"(42.33598881, -71.07764721)"
169711,3301,Verbal Disputes,VERBAL DISPUTE,C11,342,Wednesday,6,Part Three,TOPLIFF ST,"(42.30336787, -71.06827221)"
169712,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,222,Wednesday,6,Part Three,E BROADWAY,"(42.33557815, -71.03867318)"
169714,1402,Vandalism,VANDALISM,B2,616,Wednesday,3,Part Two,LOUIS PRANG ST,"(42.33813873, -71.09663731)"
169715,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,616,Wednesday,3,Part One,LOUIS PRANG ST,"(42.33813873, -71.09663731)"
169716,619,Larceny,LARCENY ALL OTHERS,D4,170,Wednesday,2,Part One,HARRISON AVE,"(42.33500700, -71.07506700)"
169717,1300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,D4,170,Wednesday,2,Part Two,HARRISON AVE,"(42.33500700, -71.07506700)"
169718,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,178,Tuesday,22,Part One,MAGAZINE ST,"(42.32779038, -71.06853244)"
169719,562,Other Burglary,BURGLARY - OTHER - NO FORCE,A1,117,Wednesday,2,Part One,BEACH ST,"(42.35145666, -71.06167557)"
169720,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,297,Wednesday,1,Part Three,ROCKLAND ST,"(42.32188453, -71.08306612)"
169721,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,230,Wednesday,2,Part Three,K ST,"(42.33267791, -71.03733735)"
169722,3114,Investigate Property,INVESTIGATE PROPERTY,C11,336,Wednesday,2,Part Three,CLARKSON ST,"(42.30742924, -71.06863928)"
169723,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,617,Wednesday,2,Part One,FENWAY,"(42.33897466, -71.09696315)"
169724,1402,Vandalism,VANDALISM,D4,617,Wednesday,2,Part Two,FENWAY,"(42.33897466, -71.09696315)"
169725,2610,Other,TRESPASSING,A1,113,Wednesday,1,Part Two,BEDFORD ST,"(42.35335427, -71.05986564)"
169726,3410,Towed,TOWED MOTOR VEHICLE,A1,63,Tuesday,21,Part Three,LONGFELLOW PL,"(42.36356550, -71.06449385)"
169727,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,428,Wednesday,1,Part One,BLUE HILL AVE,"(42.28282878, -71.09182490)"
169728,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,177,Wednesday,0,Part Three,NEW SUDBURY ST,"(42.36183857, -71.05976489)"
169729,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,177,Wednesday,0,Part Two,NEW SUDBURY ST,"(42.36183857, -71.05976489)"
169730,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",D14,802,Wednesday,0,Part Three,HARVARD TER,"(42.35398560, -71.13291937)"
169731,3007,Medical Assistance,SUDDEN DEATH,D4,143,Tuesday,22,Part Three,BOYLSTON ST,"(42.34932471, -71.08014801)"
169732,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,D4,149,Wednesday,0,Part Three,DARTMOUTH ST,"(42.34640381, -71.07551289)"
169733,2204,Liquor Violation,LIQUOR LAW VIOLATION,C6,256,Saturday,23,Part Two,MOUNT VERNON ST,"(42.31779354, -71.04210959)"
169734,3115,Investigate Person,INVESTIGATE PERSON,A1,65,Tuesday,23,Part Three,BLOSSOM ST,"(42.36169720, -71.06685878)"
169735,3410,Towed,TOWED MOTOR VEHICLE,D4,168,Wednesday,0,Part Three,HARRISON AVE,"(42.33790301, -71.07145236)"
169736,3502,Missing Person Located,MISSING PERSON - LOCATED,D14,806,Tuesday,17,Part Three,RICHARDSON ST,"(42.36127607, -71.14345725)"
169737,1402,Vandalism,VANDALISM,D4,179,Tuesday,8,Part Two,MELNEA CASS BLVD,"(42.33182961, -71.07347274)"
169738,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,113,Tuesday,22,Part Three,KINGSTON ST,"(42.35370585, -71.05898587)"
169739,1831,Drug Violation,DRUGS - SICK ASSIST - OTHER NARCOTIC,C11,372,Tuesday,23,Part Two,PORT NORFOLK ST,"(42.29013554, -71.04065574)"
169740,3830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,A1,123,Tuesday,22,Part Three,STUART ST,"(42.35086724, -71.06305976)"
169741,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,175,Tuesday,22,Part Three,SOUTHAMPTON ST,"(42.33210843, -71.07014395)"
169742,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,566,Tuesday,22,Part Two,MORTON ST,"(42.29894455, -71.10233161)"
169743,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,A1,61,Tuesday,22,Part One,LEGENDS WAY,"(42.36643546, -71.06135413)"
169744,2616,Other,POSSESSION OF BURGLARIOUS TOOLS,A1,61,Tuesday,22,Part Two,LEGENDS WAY,"(42.36643546, -71.06135413)"
169745,617,Larceny,LARCENY THEFT FROM BUILDING,A1,61,Tuesday,22,Part One,LEGENDS WAY,"(42.36643546, -71.06135413)"
169746,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,436,Tuesday,22,Part Three,WITHINGTON ST,"(42.28876736, -71.07289694)"
169747,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,E18,520,Friday,12,Part Two,WEBSTER ST,"(42.25875986, -71.12292116)"
169748,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,260,Tuesday,21,Part Three,FOLSOM ST,"(42.31797163, -71.07234547)"
169749,613,Larceny,LARCENY SHOPLIFTING,D4,168,Tuesday,22,Part One,WASHINGTON ST,"(42.33816387, -71.07461217)"
169750,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,C11,334,Tuesday,19,Part Two,TOVAR ST,"(42.31028490, -71.06348374)"
169751,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,334,Tuesday,19,Part One,TOVAR ST,"(42.31028490, -71.06348374)"
169752,1402,Vandalism,VANDALISM,D4,157,Tuesday,19,Part Two,TREMONT ST,"(42.34182317, -71.07562989)"
169753,3501,Missing Person Reported,MISSING PERSON,B3,446,Tuesday,18,Part Three,ATHELWOLD ST,"(42.29603943, -71.07717023)"
169754,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A15,900,Tuesday,22,Part One,WALFORD WAY,"(42.37843402, -71.05644163)"
169755,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,228,Tuesday,20,Part Three,E BROADWAY,"(42.33575801, -71.02820306)"
169756,3114,Investigate Property,INVESTIGATE PROPERTY,C11,257,Tuesday,21,Part Three,SCHROEDER PLZ,"(42.33367922, -71.09187755)"
169757,301,Robbery,ROBBERY - STREET,B3,476,Tuesday,19,Part One,BLUE HILL AVE,"(42.26817397, -71.09387677)"
169758,3301,Verbal Disputes,VERBAL DISPUTE,E18,518,Tuesday,21,Part Three,GLENWOOD AVE,"(42.24686098, -71.12406975)"
169760,3301,Verbal Disputes,VERBAL DISPUTE,C11,341,Tuesday,21,Part Three,SPEEDWELL ST,"(42.30406722, -71.06760042)"
169761,3502,Missing Person Located,MISSING PERSON - LOCATED,C11,254,Tuesday,21,Part Three,DORCHESTER AVE,"(42.31091044, -71.05767414)"
169762,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,197,Tuesday,21,Part One,OLD COLONY AVE,"(42.33586257, -71.05566936)"
169763,2647,Other,THREATS TO DO BODILY HARM,B2,612,Tuesday,21,Part Two,FRANCIS ST,"(42.33606304, -71.10782832)"
169764,3201,Property Lost,PROPERTY - LOST,A1,122,Friday,23,Part Three,TREMONT ST,"(42.34942864, -71.06536641)"
169766,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY †DAMAGE,A1,120,Tuesday,17,Part Three,BOYLSTON ST,"(42.35204640, -71.06992523)"
169767,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,C6,177,Tuesday,18,Part Three,NEW SUDBURY ST,"(42.36183857, -71.05976489)"
169770,3115,Investigate Person,INVESTIGATE PERSON,E18,503,Tuesday,16,Part Three,AMERICAN LEGION HWY,"(42.28314714, -71.11374152)"
169771,3301,Verbal Disputes,VERBAL DISPUTE,B2,320,Tuesday,19,Part Three,MAPLE ST,"(42.30978746, -71.08503096)"
169772,1402,Vandalism,VANDALISM,D4,170,Friday,17,Part Two,E SPRINGFIELD ST,"(42.33602920, -71.07517847)"
169773,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,E5,691,Tuesday,16,Part Two,W BROADWAY,"(42.34128751, -71.05467933)"
169774,617,Larceny,LARCENY THEFT FROM BUILDING,A1,70,Tuesday,19,Part One,MOUNT VERNON ST,"(42.35832312, -71.06568479)"
169775,3304,Assembly or Gathering Violations,NOISY PARTY/RADIO-NO ARREST,B2,308,Tuesday,18,Part Three,MUNROE ST,"(42.31857590, -71.08767243)"
169776,3501,Missing Person Reported,MISSING PERSON,E18,531,Tuesday,19,Part Three,READVILLE ST,"(42.24316898, -71.13409893)"
169777,3502,Missing Person Located,MISSING PERSON - LOCATED,E18,531,Tuesday,19,Part Three,READVILLE ST,"(42.24316898, -71.13409893)"
169778,1402,Vandalism,VANDALISM,C6,220,Tuesday,19,Part Two,DORCHESTER ST,"(42.33597778, -71.04484195)"
169779,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,B3,465,Tuesday,20,Part Two,BLUE HILL AVE,"(42.28482577, -71.09137369)"
169780,3001,Medical Assistance,DEATH INVESTIGATION,B2,184,Tuesday,19,Part Three,HARROW ST,"(42.31946048, -71.06723922)"
169781,1844,Drug Violation,DRUGS - POSS CLASS C,C11,354,Tuesday,19,Part Two,ADAMS ST,"(42.29821908, -71.05704798)"
169782,3106,Property Related Damage,PROPERTY - ACCIDENTAL DAMAGE,A1,114,Tuesday,19,Part Three,ATLANTIC AVE,"(42.35438252, -71.05213281)"
